model_role,run_id,training_group_dropout_p,selected_run_id,selected_group_dropout_p,test_condition,masked_group,class_name,class_f1,num_samples,checkpoint_path,clean_class_f1,class_f1_drop_from_clean,baseline_class_f1,class_f1_vs_baseline
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,AnnualCrop,0.9346153846153846,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9346153846153846,0.0,0.9346153846153846,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,Forest,0.9844179651695693,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9844179651695693,0.0,0.9844179651695693,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,HerbaceousVegetation,0.9124260355029585,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9124260355029585,0.0,0.9124260355029585,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,Highway,0.9672619047619048,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9672619047619048,0.0,0.9672619047619048,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,Industrial,0.9629629629629629,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9629629629629629,0.0,0.9629629629629629,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,Pasture,0.6483516483516484,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.6483516483516484,0.0,0.6483516483516484,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,PermanentCrop,0.8019323671497585,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.8019323671497585,0.0,0.8019323671497585,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,Residential,0.977205153617443,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.977205153617443,0.0,0.977205153617443,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,River,0.9848942598187311,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9848942598187311,0.0,0.9848942598187311,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,CLEAN,,SeaLake,0.9859343603482921,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9859343603482921,0.0,0.9859343603482921,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,VISIBLE,VISIBLE,AnnualCrop,0.8504359490274983,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9346153846153846,0.08417943558788632,0.8504359490274983,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,VISIBLE,VISIBLE,Forest,0.8621176470588235,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9844179651695693,0.12230031811074571,0.8621176470588235,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,VISIBLE,VISIBLE,HerbaceousVegetation,0.53501879057055,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9124260355029585,0.3774072449324085,0.53501879057055,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,VISIBLE,VISIBLE,Highway,0.5975609756097561,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9672619047619048,0.3697009291521487,0.5975609756097561,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,VISIBLE,VISIBLE,Industrial,0.2773722627737226,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.9629629629629629,0.6855907001892403,0.2773722627737226,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,VISIBLE,VISIBLE,Pasture,0.08633093525179857,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.6483516483516484,0.5620207130998498,0.08633093525179857,0.0
baseline,MS_SPATIAL_DROP_BASELINE,0.0,MS_SPATIAL_DROP_P05,0.5,VISIBLE,VISIBLE,PermanentCrop,0.011204481792717087,5400,/home/windhurt/dl_projects/projects/satx-eurosat-geographic-generalization-study/outputs/runs/resnet50_ms_spatial_direct_pretrained_zscore_seed42/best.pt,0.8019323671497585,0.7907278853570414,0.011204481792717087,0.0
